job_id,animation,direction,frame_count,status,base_sprite,generated_pose,raw_output,normalized_output,preview,qa_notes
idle_down,idle,down,5,approved,assets/characters/green_warrior_v3/base/warrior_base_v3_transparent.png,assets/characters/green_warrior_v3/idle/raw/idle_down_imagegen_base_only_natural_stance_chromakey.png,assets/characters/green_warrior_v3/idle/raw/idle_down_raw.png,assets/characters/green_warrior_v3/idle/frames/idle_down_01.png,assets/characters/green_warrior_v3/idle/preview/idle_down_preview.png,"Approved fresh base-reference-only idle natural-stance redo: 5 frames, 128x128 default_128 profile, anchor {x:64,y:120}, simple standing stance not walking stride, source generated from canonical v3 base only, shared scale 0.2494, height drift 1px, worst padding L/T/R/B [27, 13, 26, 16], no v2/walk/old-idle reference, no shield/off-hand weapon, approved 2026-04-26 19:37:22 -0500."
idle_down_right,idle,down_right,5,approved,assets/characters/green_warrior_v3/base/warrior_base_v3_transparent.png,assets/characters/green_warrior_v3/idle/raw/idle_down_right_imagegen_base_only_natural_stance_chromakey.png,assets/characters/green_warrior_v3/idle/raw/idle_down_right_raw.png,assets/characters/green_warrior_v3/idle/frames/idle_down_right_01.png,assets/characters/green_warrior_v3/idle/preview/idle_down_right_preview.png,"Approved fresh base-reference-only idle natural-stance redo: 5 frames, 128x128 default_128 profile, anchor {x:64,y:120}, simple standing stance not walking stride, source generated from canonical v3 base only, shared scale 0.2351, height drift 1px, worst padding L/T/R/B [37, 14, 36, 16], no v2/walk/old-idle reference, no shield/off-hand weapon, approved 2026-04-26 19:26:23 -0500."
idle_right,idle,right,5,approved,assets/characters/green_warrior_v3/base/warrior_base_v3_transparent.png,assets/characters/green_warrior_v3/idle/raw/idle_right_imagegen_base_only_natural_stance_chromakey.png,assets/characters/green_warrior_v3/idle/raw/idle_right_raw.png,assets/characters/green_warrior_v3/idle/frames/idle_right_01.png,assets/characters/green_warrior_v3/idle/preview/idle_right_preview.png,"Approved fresh base-reference-only idle natural-stance redo: 5 frames, 128x128 default_128 profile, anchor {x:64,y:120}, simple standing stance not walking stride, source generated from canonical v3 base only, shared scale 0.2229, height drift 0px, worst padding L/T/R/B [39, 14, 38, 16], no v2/walk/old-idle reference, no shield/off-hand weapon, approved 2026-04-26 19:26:23 -0500."
idle_up_right,idle,up_right,5,approved,assets/characters/green_warrior_v3/base/warrior_base_v3_transparent.png,assets/characters/green_warrior_v3/idle/raw/idle_up_right_imagegen_base_only_natural_stance_chromakey.png,assets/characters/green_warrior_v3/idle/raw/idle_up_right_raw.png,assets/characters/green_warrior_v3/idle/frames/idle_up_right_01.png,assets/characters/green_warrior_v3/idle/preview/idle_up_right_preview.png,"Approved fresh base-reference-only idle natural-stance redo: 5 frames, 128x128 default_128 profile, anchor {x:64,y:120}, simple standing stance not walking stride, source generated from canonical v3 base only, shared scale 0.2462, height drift 0px, worst padding L/T/R/B [30, 14, 29, 16], no v2/walk/old-idle reference, no shield/off-hand weapon, approved 2026-04-26 19:26:23 -0500."
idle_up,idle,up,5,approved,assets/characters/green_warrior_v3/base/warrior_base_v3_transparent.png,assets/characters/green_warrior_v3/idle/raw/idle_up_imagegen_base_only_natural_stance_chromakey.png,assets/characters/green_warrior_v3/idle/raw/idle_up_raw.png,assets/characters/green_warrior_v3/idle/frames/idle_up_01.png,assets/characters/green_warrior_v3/idle/preview/idle_up_preview.png,"Approved fresh base-reference-only idle natural-stance redo: 5 frames, 128x128 default_128 profile, anchor {x:64,y:120}, simple standing stance not walking stride, source generated from canonical v3 base only, shared scale 0.2662, height drift 1px, worst padding L/T/R/B [27, 14, 26, 16], no v2/walk/old-idle reference, no shield/off-hand weapon, approved 2026-04-26 19:26:23 -0500."
idle_up_left,idle,up_left,5,approved,assets/characters/green_warrior_v3/base/warrior_base_v3_transparent.png,assets/characters/green_warrior_v3/idle/raw/idle_up_left_imagegen_base_only_natural_stance_chromakey.png,assets/characters/green_warrior_v3/idle/raw/idle_up_left_raw.png,assets/characters/green_warrior_v3/idle/frames/idle_up_left_01.png,assets/characters/green_warrior_v3/idle/preview/idle_up_left_preview.png,"Approved fresh base-reference-only idle natural-stance redo: 5 frames, 128x128 default_128 profile, anchor {x:64,y:120}, simple standing stance not walking stride, source generated from canonical v3 base only, shared scale 0.2592, height drift 0px, worst padding L/T/R/B [34, 14, 34, 16], no v2/walk/old-idle reference, no shield/off-hand weapon, approved 2026-04-26 19:26:23 -0500."
idle_left,idle,left,5,approved,assets/characters/green_warrior_v3/base/warrior_base_v3_transparent.png,assets/characters/green_warrior_v3/idle/raw/idle_left_imagegen_base_only_natural_stance_chromakey.png,assets/characters/green_warrior_v3/idle/raw/idle_left_raw.png,assets/characters/green_warrior_v3/idle/frames/idle_left_01.png,assets/characters/green_warrior_v3/idle/preview/idle_left_preview.png,"Approved fresh base-reference-only idle natural-stance redo: 5 frames, 128x128 default_128 profile, anchor {x:64,y:120}, simple standing stance not walking stride, source generated from canonical v3 base only, shared scale 0.2397, height drift 0px, worst padding L/T/R/B [29, 14, 29, 16], no v2/walk/old-idle reference, no shield/off-hand weapon, approved 2026-04-26 19:26:23 -0500."
idle_down_left,idle,down_left,5,approved,assets/characters/green_warrior_v3/base/warrior_base_v3_transparent.png,assets/characters/green_warrior_v3/idle/raw/idle_down_left_imagegen_base_only_natural_stance_chromakey.png,assets/characters/green_warrior_v3/idle/raw/idle_down_left_raw.png,assets/characters/green_warrior_v3/idle/frames/idle_down_left_01.png,assets/characters/green_warrior_v3/idle/preview/idle_down_left_preview.png,"Approved fresh base-reference-only idle natural-stance redo: 5 frames, 128x128 default_128 profile, anchor {x:64,y:120}, simple standing stance not walking stride, source generated from canonical v3 base only, shared scale 0.2519, height drift 1px, worst padding L/T/R/B [29, 14, 28, 16], no v2/walk/old-idle reference, no shield/off-hand weapon, approved 2026-04-26 19:26:23 -0500."
walk_down,walk,down,8,approved,assets/characters/green_warrior_v3/base/warrior_base_v3_transparent.png,assets/characters/green_warrior_v3/walk/raw/walk_down_imagegen_base_only_chromakey.png,assets/characters/green_warrior_v3/walk/raw/walk_down_raw.png,assets/characters/green_warrior_v3/walk/frames/walk_down_01.png,assets/characters/green_warrior_v3/walk/preview/walk_down_preview.png,"Approved fresh base-reference-only walk redo: 8 frames, 128x128 default_128 profile, anchor {x:64,y:120}, source generated from canonical v3 base only, shared scale 0.2880, height drift 6px, worst padding L/T/R/B [30, 14, 29, 16], raw gutter est 385px, no v2/idle/old-walk reference, no shield/off-hand weapon, approved 2026-04-26 18:50:21 -0500."
walk_down_right,walk,down_right,8,approved,assets/characters/green_warrior_v3/base/warrior_base_v3_transparent.png,assets/characters/green_warrior_v3/walk/raw/walk_down_right_imagegen_base_only_chromakey.png,assets/characters/green_warrior_v3/walk/raw/walk_down_right_raw.png,assets/characters/green_warrior_v3/walk/frames/walk_down_right_01.png,assets/characters/green_warrior_v3/walk/preview/walk_down_right_preview.png,"Approved fresh base-reference-only walk redo: 8 frames, 128x128 default_128 profile, anchor {x:64,y:120}, source generated from canonical v3 base only, shared scale 0.3059, height drift 3px, worst padding L/T/R/B [37, 14, 36, 16], raw gutter est 443px, no v2/idle/old-walk reference, no shield/off-hand weapon, approved 2026-04-26 18:50:21 -0500."
